FSSLTDE2,FSSTDDE2,FSERNDED,RAWNET,FSASSET,TANF_IND,RAWERND,REALPROP,FSOTHUN,FSNONCIT,CERTHHSZ,FSSLTDED,FSTANF,FSTOTDED,FSNK0T4,FSCSEXP,FSNETINC,FSWAGES,FSERNDE2,TPOV,FSNELDER,WRK_POOR,FSUNEARN,FSUSIZE,FSDIS,FSGA,SHELDED,FSSSI,FSEARN,LIQRESOR,CAT_ELIG,VEHICLEA,FSVEHAST
307.0,201.0,0.0,242.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,307.0,0.0,441.0,1.0,0.0,242.0,0.0,0.0,84.0,0.0,0.0,683.0,1.0,0.0,0.0,308.0,0.0,0.0,0.0,2.0,1.0,0.0
99.0,243.0,165.0,390.0,0.0,0.0,165.0,0.0,0.0,1.0,5.0,99.0,0.0,426.0,0.0,0.0,403.0,0.0,248.0,43.0,0.0,1.0,0.0,5.0,0.0,0.0,110.0,0.0,829.0,0.0,2.0,1.0,0.0
0.0,134.0,0.0,469.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,134.0,0.0,0.0,469.0,0.0,0.0,74.0,0.0,0.0,603.0,1.0,1.0,0.0,0.0,603.0,0.0,0.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,417.0,0.0,551.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,417.0,0.0,0.0,0.0,2.0,1.0,0.0
176.0,201.0,0.0,534.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,176.0,0.0,310.0,0.0,0.0,534.0,0.0,0.0,103.0,1.0,0.0,844.0,1.0,0.0,0.0,176.0,0.0,0.0,0.0,2.0,1.0,0.0
398.0,209.0,40.0,92.0,0.0,1.0,40.0,0.0,0.0,0.0,4.0,398.0,469.0,577.0,1.0,0.0,92.0,200.0,60.0,40.0,0.0,1.0,469.0,4.0,0.0,0.0,398.0,0.0,200.0,0.0,1.0,1.0,0.0
0.0,134.0,0.0,732.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,134.0,0.0,0.0,756.0,0.0,0.0,81.0,1.0,0.0,890.0,2.0,0.0,0.0,23.0,0.0,0.0,0.0,2.0,1.0,0.0
0.0,139.0,0.0,854.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,390.0,139.0,0.0,0.0,854.0,0.0,0.0,60.0,0.0,0.0,993.0,4.0,1.0,0.0,0.0,603.0,0.0,0.0,1.0,1.0,0.0
97.0,115.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,183.0,231.0,317.0,1.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,231.0,1.0,0.0,0.0,183.0,0.0,0.0,0.0,1.0,1.0,0.0
328.0,153.0,47.0,0.0,11.0,0.0,47.0,0.0,300.0,0.0,5.0,417.0,0.0,626.0,0.0,0.0,0.0,237.0,0.0,28.0,0.0,1.0,300.0,5.0,0.0,0.0,417.0,0.0,237.0,11.0,2.0,1.0,0.0
152.0,201.0,0.0,858.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,152.0,0.0,286.0,0.0,0.0,858.0,0.0,0.0,104.0,1.0,0.0,1144.0,2.0,1.0,0.0,152.0,0.0,0.0,0.0,2.0,1.0,0.0
0.0,139.0,213.0,714.0,0.0,0.0,213.0,0.0,0.0,0.0,4.0,0.0,0.0,352.0,0.0,0.0,714.0,1066.0,213.0,64.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1066.0,0.0,2.0,1.0,0.0
0.0,134.0,0.0,1112.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,134.0,0.0,0.0,1112.0,0.0,0.0,113.0,1.0,0.0,1246.0,2.0,1.0,0.0,0.0,363.0,0.0,0.0,1.0,1.0,0.0
350.0,209.0,0.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,350.0,0.0,489.0,1.0,0.0,114.0,0.0,0.0,36.0,0.0,0.0,603.0,4.0,1.0,0.0,350.0,603.0,0.0,0.0,2.0,1.0,0.0
387.0,201.0,180.0,201.0,0.0,0.0,181.0,0.0,0.0,0.0,1.0,387.0,0.0,701.0,0.0,0.0,202.0,903.0,270.0,111.0,0.0,1.0,0.0,1.0,0.0,0.0,388.0,0.0,903.0,0.0,2.0,1.0,0.0
0.0,134.0,0.0,176.0,26.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,310.0,134.0,1.0,0.0,176.0,0.0,0.0,28.0,0.0,0.0,310.0,2.0,0.0,0.0,0.0,0.0,0.0,26.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,417.0,0.0,551.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,417.0,0.0,0.0,0.0,2.0,1.0,0.0
21.0,183.0,129.0,1200.0,9.0,1.0,130.0,0.0,0.0,0.0,5.0,21.0,320.0,312.0,1.0,0.0,1201.0,648.0,150.0,78.0,0.0,1.0,865.0,5.0,0.0,0.0,21.0,0.0,648.0,9.0,1.0,1.0,0.0
125.0,201.0,0.0,363.0,992.0,0.0,0.0,0.0,0.0,0.0,1.0,125.0,0.0,259.0,0.0,0.0,364.0,0.0,0.0,76.0,1.0,0.0,623.0,1.0,0.0,0.0,125.0,312.0,0.0,992.0,1.0,1.0,0.0
383.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,383.0,0.0,517.0,0.0,0.0,45.0,0.0,0.0,69.0,1.0,0.0,562.0,1.0,0.0,0.0,405.0,0.0,0.0,0.0,2.0,1.0,0.0
268.0,126.0,0.0,0.0,419.0,0.0,0.0,0.0,0.0,0.0,1.0,343.0,0.0,477.0,0.0,0.0,0.0,0.0,0.0,49.0,1.0,0.0,402.0,1.0,0.0,0.0,343.0,176.0,0.0,419.0,1.0,1.0,0.0
175.0,209.0,125.0,187.0,194.0,0.0,125.0,0.0,0.0,0.0,4.0,175.0,0.0,439.0,3.0,0.0,187.0,626.0,188.0,38.0,0.0,1.0,0.0,4.0,0.0,0.0,175.0,0.0,626.0,194.0,2.0,1.0,0.0
61.0,200.0,215.0,781.0,0.0,0.0,215.0,0.0,0.0,0.0,4.0,61.0,0.0,462.0,1.0,0.0,781.0,1075.0,276.0,75.0,0.0,1.0,168.0,4.0,0.0,0.0,61.0,0.0,1075.0,0.0,2.0,1.0,0.0
0.0,134.0,170.0,1241.0,0.0,0.0,171.0,0.0,0.0,0.0,3.0,0.0,0.0,304.0,0.0,0.0,1242.0,854.0,170.0,112.0,0.0,1.0,692.0,3.0,1.0,0.0,0.0,0.0,854.0,0.0,2.0,1.0,0.0
130.0,201.0,0.0,393.0,0.0,0.0,0.0,0.0,87.0,0.0,1.0,130.0,0.0,264.0,0.0,0.0,393.0,0.0,0.0,80.0,1.0,0.0,657.0,1.0,0.0,0.0,130.0,0.0,0.0,0.0,2.0,1.0,0.0
261.0,30.0,120.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,6.0,417.0,0.0,758.0,1.0,0.0,0.0,602.0,0.0,27.0,0.0,1.0,0.0,6.0,0.0,0.0,417.0,0.0,602.0,0.0,2.0,1.0,0.0
13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,417.0,0.0,551.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,147.0,2.0,0.0,0.0,417.0,0.0,0.0,0.0,2.0,1.0,0.0
0.0,134.0,0.0,790.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,134.0,0.0,0.0,790.0,0.0,0.0,84.0,2.0,0.0,924.0,2.0,0.0,0.0,0.0,18.0,0.0,0.0,1.0,1.0,0.0
92.0,201.0,0.0,188.0,267.0,0.0,0.0,0.0,0.0,0.0,3.0,92.0,0.0,226.0,0.0,0.0,188.0,0.0,0.0,30.0,0.0,0.0,414.0,3.0,0.0,0.0,92.0,0.0,0.0,267.0,2.0,1.0,0.0
0.0,134.0,0.0,255.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,389.0,134.0,1.0,0.0,255.0,0.0,0.0,28.0,0.0,0.0,389.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
173.0,201.0,202.0,734.0,0.0,0.0,203.0,0.0,0.0,0.0,2.0,173.0,0.0,509.0,0.0,0.0,735.0,1013.0,303.0,113.0,1.0,1.0,231.0,2.0,0.0,231.0,173.0,0.0,1013.0,0.0,2.0,1.0,0.0
413.0,201.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,413.0,0.0,547.0,0.0,0.0,56.0,0.0,0.0,74.0,0.0,0.0,603.0,1.0,1.0,0.0,463.0,603.0,0.0,0.0,1.0,1.0,0.0
0.0,134.0,0.0,747.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,134.0,0.0,0.0,747.0,0.0,0.0,108.0,0.0,0.0,881.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
198.0,201.0,0.0,536.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,198.0,0.0,386.0,0.0,0.0,537.0,0.0,0.0,113.0,1.0,0.0,923.0,1.0,0.0,0.0,198.0,0.0,0.0,0.0,2.0,1.0,0.0
129.0,201.0,0.0,677.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,129.0,231.0,263.0,0.0,0.0,677.0,0.0,0.0,85.0,0.0,0.0,940.0,2.0,1.0,0.0,129.0,156.0,0.0,0.0,1.0,1.0,0.0
119.0,201.0,0.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,119.0,0.0,253.0,0.0,0.0,370.0,0.0,0.0,57.0,1.0,0.0,623.0,2.0,0.0,0.0,119.0,247.0,0.0,0.0,2.0,1.0,0.0
0.0,134.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,134.0,0.0,0.0,97.0,0.0,0.0,28.0,0.0,0.0,231.0,1.0,0.0,231.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.0,134.0,325.0,1166.0,210.0,0.0,325.0,0.0,0.0,0.0,3.0,0.0,0.0,459.0,0.0,0.0,1166.0,1625.0,325.0,117.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1625.0,210.0,2.0,1.0,0.0
0.0,134.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,134.0,0.0,0.0,97.0,0.0,0.0,28.0,0.0,0.0,231.0,1.0,0.0,231.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
250.0,279.0,0.0,714.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,250.0,294.0,436.0,0.0,0.0,714.0,0.0,0.0,46.0,0.0,0.0,1150.0,7.0,1.0,0.0,250.0,523.0,0.0,0.0,1.0,1.0,0.0
0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,100.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
337.0,201.0,0.0,151.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,337.0,0.0,471.0,0.0,0.0,152.0,0.0,0.0,76.0,0.0,0.0,623.0,1.0,1.0,0.0,337.0,25.0,0.0,2.0,1.0,1.0,0.0
417.0,162.0,246.0,647.0,0.0,1.0,246.0,0.0,0.0,0.0,5.0,417.0,326.0,910.0,2.0,0.0,647.0,1231.0,274.0,80.0,0.0,1.0,326.0,5.0,0.0,0.0,417.0,0.0,1231.0,0.0,1.0,1.0,0.0
97.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,417.0,231.0,551.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,231.0,1.0,0.0,0.0,417.0,0.0,0.0,0.0,1.0,1.0,0.0
0.0,134.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,134.0,0.0,0.0,97.0,0.0,0.0,28.0,0.0,0.0,231.0,1.0,0.0,231.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.0,139.0,259.0,900.0,0.0,0.0,260.0,0.0,0.0,0.0,4.0,0.0,0.0,398.0,1.0,0.0,898.0,1296.0,259.0,78.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1296.0,0.0,2.0,1.0,0.0
349.0,201.0,0.0,268.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,349.0,0.0,483.0,0.0,0.0,267.0,0.0,0.0,92.0,0.0,0.0,750.0,1.0,0.0,0.0,348.0,0.0,0.0,0.0,2.0,1.0,0.0
64.0,198.0,0.0,405.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,64.0,0.0,198.0,0.0,0.0,405.0,0.0,0.0,74.0,1.0,0.0,603.0,1.0,0.0,0.0,65.0,603.0,0.0,0.0,1.0,1.0,0.0
165.0,201.0,0.0,303.0,948.0,0.0,0.0,0.0,0.0,0.0,1.0,165.0,0.0,299.0,0.0,0.0,304.0,0.0,0.0,74.0,0.0,0.0,603.0,1.0,1.0,0.0,165.0,603.0,0.0,948.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
