state,SHELDED,FSSLTDED,HWGT,CERTHHSZ,FSTOTDED,FSUNEARN,FSSTDDE2,TANF_IND,FSEARN,FSTANF,RAWERND,LIQRESOR,FSASSET,FSSLTDE2,WRK_POOR
Connecticut,606,606,4734,1,766,1305,240,0,0,0,0,0,0,606,0
Connecticut,535,535,3114,1,695,0,0,0,0,0,0,0,0,0,0
Connecticut,535,535,5993,2,1138,0,160,0,2218,0,444,0,0,535,1
Connecticut,1182,1182,2384,5,1381,1242,160,1,0,487,0,0,0,1043,0
Connecticut,675,675,4052,2,835,1266,240,0,0,0,0,0,0,675,0
Connecticut,458,458,3882,2,866,0,240,0,1242,0,248,0,0,458,1
Connecticut,552,552,3734,1,712,917,240,0,0,0,0,0,0,552,0
Connecticut,535,535,2751,2,695,271,0,0,0,0,0,0,0,111,0
Connecticut,557,557,3174,1,717,735,240,0,0,0,0,0,0,557,0
Connecticut,535,535,2469,3,695,597,62,1,0,597,0,0,0,437,0
Connecticut,656,656,3114,1,816,711,135,0,0,0,0,0,0,551,0
Connecticut,1253,1454,3114,1,1614,909,0,0,0,0,0,0,0,749,0
Connecticut,0,0,3114,1,160,0,0,0,0,0,0,0,0,0,0
Connecticut,648,648,3114,1,808,755,187,0,0,0,0,0,0,595,0
Connecticut,0,0,3114,1,160,22,22,0,0,0,0,0,0,0,0
Connecticut,0,0,3114,1,160,0,0,0,0,0,0,0,0,0,0
Connecticut,767,767,3664,1,927,1109,240,0,0,0,0,0,0,767,0
Connecticut,535,535,4960,3,845,920,160,0,753,0,151,0,0,535,1
Connecticut,703,703,3216,1,863,735,112,0,0,0,0,0,0,575,0
Connecticut,0,0,3114,1,195,0,140,0,175,0,35,0,0,0,1
Connecticut,831,831,3114,1,991,755,4,0,0,0,0,0,0,595,0
Connecticut,535,535,3179,3,927,0,160,0,1163,0,233,0,0,535,1
Connecticut,642,642,2751,2,802,755,193,0,0,0,0,0,0,595,0
Connecticut,635,635,3114,1,795,755,200,0,0,0,0,0,0,595,0
Connecticut,535,535,2869,3,1225,100,160,0,1256,0,251,0,0,535,1
Connecticut,699,699,3474,1,859,978,240,0,0,0,0,0,0,699,0
Connecticut,499,499,5082,2,659,1434,240,0,0,0,0,0,0,499,0
Connecticut,840,920,3114,1,1080,796,0,0,0,0,0,0,0,636,0
Connecticut,318,296,4324,1,456,858,240,0,0,0,0,0,0,296,0
Connecticut,449,449,4632,2,609,1234,240,0,0,0,0,0,0,449,0
Connecticut,0,0,3114,1,160,0,0,0,0,0,0,0,0,0,0
Connecticut,841,841,3114,1,1001,735,0,0,0,0,0,0,0,575,0
Connecticut,535,535,3114,1,695,0,0,0,0,0,0,0,0,0,0
Connecticut,641,641,4124,1,801,1135,240,0,0,0,0,0,0,641,0
Connecticut,535,535,2751,2,695,0,0,0,0,0,0,0,0,0,0
Connecticut,562,562,3814,1,722,955,240,0,0,0,0,0,0,562,0
Connecticut,432,432,4457,4,602,1304,255,1,0,549,0,0,0,432,0
Connecticut,278,279,6123,2,439,2323,240,0,0,0,0,0,0,279,0
Connecticut,902,902,3114,1,1062,312,0,0,0,0,0,0,0,152,0
Connecticut,639,638,3672,2,798,1104,240,0,0,0,0,0,0,638,0
Connecticut,1013,1013,3114,1,1173,716,0,0,0,0,0,0,0,556,0
Connecticut,535,535,6360,3,1192,0,160,0,2486,0,497,0,0,535,1
Connecticut,820,820,3114,1,980,977,237,0,0,0,0,0,0,817,0
Connecticut,648,648,3114,1,808,755,187,0,0,0,0,0,0,595,0
Connecticut,371,371,5440,3,910,0,240,0,1899,0,379,0,0,371,1
Connecticut,0,0,3947,4,170,701,170,1,0,701,0,0,0,0,0
Connecticut,656,656,3114,1,816,786,210,0,0,0,0,0,0,626,0
Connecticut,597,597,3287,1,757,735,218,0,0,0,0,0,0,575,0
Connecticut,777,741,3287,1,901,735,74,0,0,0,0,0,0,575,0
Connecticut,966,558,3176,2,869,2321,240,0,0,0,0,0,0,558,0
Connecticut,0,0,3257,2,160,0,0,0,0,0,0,0,0,0,0
Connecticut,790,790,3277,1,950,1087,240,0,0,0,0,0,0,790,0
Connecticut,728,535,3114,6,763,213,0,0,0,0,0,0,0,0,0
Connecticut,814,814,3279,1,974,1089,240,0,0,0,0,0,0,814,0
Connecticut,899,535,3287,1,695,219,0,0,0,0,0,0,0,59,0
Connecticut,0,0,3287,1,160,0,0,0,0,0,0,0,0,0,0
Connecticut,667,658,3236,2,818,1101,240,1,0,366,0,0,0,658,0
Connecticut,836,836,3245,1,996,1682,240,0,0,0,0,0,0,836,0
Connecticut,716,716,3265,1,876,1185,240,0,0,0,0,0,0,716,0
Connecticut,0,0,3287,1,160,0,0,0,0,0,0,0,0,0,0
Connecticut,551,551,3250,1,711,1230,240,0,0,0,0,0,0,551,0
Connecticut,151,151,3269,1,311,558,240,0,0,0,0,0,0,151,0
Connecticut,622,622,3245,1,782,1523,240,0,0,0,0,0,0,622,0
Connecticut,1054,1054,3287,1,1214,909,0,0,0,0,0,0,0,749,0
Connecticut,845,845,3287,1,1005,776,11,0,0,0,0,0,0,616,0
Connecticut,535,535,3257,2,724,232,0,0,145,0,29,0,0,188,1
Connecticut,863,863,3287,1,1023,490,0,0,0,0,0,0,0,330,0
Connecticut,27,27,3287,1,187,40,33,0,0,0,0,0,0,0,0
Connecticut,0,0,3287,1,160,0,0,0,0,0,0,0,0,0,0
Connecticut,412,412,3250,1,572,1093,240,0,0,0,0,0,0,412,0
Connecticut,535,535,3187,3,992,18,160,0,1489,0,297,0,0,535,1
Connecticut,576,576,3283,1,736,797,240,0,0,0,0,0,0,576,0
Connecticut,1272,1273,3147,5,1515,735,0,0,217,0,0,0,0,710,1
Connecticut,514,514,3176,2,883,949,240,1,1049,443,210,0,0,514,1
Connecticut,0,0,3287,1,160,0,0,0,0,0,0,0,0,0,0
Connecticut,535,535,3287,1,695,219,0,0,0,0,0,0,0,59,0
Connecticut,535,535,3257,2,695,450,0,0,0,0,0,0,0,290,0
Connecticut,809,535,3245,1,695,1588,160,0,0,0,0,0,0,535,0
Connecticut,691,691,3287,1,851,735,124,0,0,0,0,0,0,575,0
Connecticut,535,535,3223,2,984,0,160,0,1448,0,290,0,0,535,1
Connecticut,535,0,2924,7,963,0,228,0,2963,0,593,0,0,0,1
Connecticut,548,549,3248,1,709,1246,240,0,0,0,0,0,0,549,0
Connecticut,594,594,3287,1,754,755,240,0,0,0,0,0,0,594,0
Connecticut,1000,1000,3257,2,1160,416,0,0,0,0,0,0,0,256,0
Connecticut,535,535,3257,2,695,351,0,1,0,351,0,0,0,191,0
Connecticut,514,514,3265,1,920,0,240,0,1234,0,247,0,0,514,1
Connecticut,924,924,3287,1,1084,769,0,0,0,0,0,0,0,609,0
Connecticut,203,44,3128,3,586,0,204,0,1911,0,382,0,0,44,1
Connecticut,807,807,3259,1,967,1363,240,0,0,0,0,0,0,807,0
Connecticut,0,0,3287,1,160,0,0,0,0,0,0,0,0,0,0
Connecticut,535,535,3145,5,734,751,199,1,0,751,0,0,0,535,0
Connecticut,821,796,3287,1,986,755,9,0,0,0,0,0,0,565,0
Connecticut,608,608,3287,1,768,735,207,0,0,0,0,0,0,575,0
Connecticut,535,535,3147,5,734,488,4,1,0,488,0,0,0,289,0
Connecticut,886,886,3287,1,1046,945,139,0,0,0,0,0,0,785,0
Connecticut,575,575,3260,1,735,1119,240,0,0,0,0,0,0,575,0
Connecticut,649,649,3287,1,809,753,184,0,0,0,0,0,0,593,0
Connecticut,535,535,3287,1,695,0,0,0,0,0,0,0,0,0,0
Connecticut,0,0,3245,1,417,0,160,0,1285,0,257,0,0,0,1
Connecticut,904,904,3287,1,1064,909,85,0,0,0,0,0,0,749,0
Connecticut,0,0,3287,1,160,0,0,0,0,0,0,0,0,0,0
Connecticut,535,535,3223,2,726,1028,160,0,155,0,31,0,0,535,1
Connecticut,562,562,3285,1,722,755,240,0,0,0,0,0,0,562,0
Connecticut,929,929,3287,1,1089,909,60,0,0,0,0,0,0,749,0
Connecticut,0,0,3224,3,160,0,0,0,0,0,0,0,0,0,0
Connecticut,534,534,3284,1,694,735,240,0,0,0,0,0,0,534,0
Connecticut,0,0,3287,1,160,0,0,0,0,0,0,0,0,0,0
Connecticut,535,535,3257,2,741,0,0,0,234,0,47,0,0,28,1
Connecticut,257,257,3061,4,427,2175,255,1,0,337,0,0,0,257,0
Connecticut,535,535,3224,3,695,0,0,0,0,0,0,0,0,0,0
Connecticut,1368,1368,3147,5,1567,1419,150,1,0,684,0,0,0,1220,0
Connecticut,561,561,3286,1,721,735,240,0,0,0,0,0,0,561,0
Connecticut,0,0,3287,1,160,0,0,0,0,0,0,0,0,0,0
Connecticut,899,535,3287,1,695,219,0,0,0,0,0,0,0,59,0
Connecticut,815,815,3165,4,985,1296,255,0,0,0,0,0,0,815,0
Connecticut,692,692,4746,1,852,1533,240,0,0,0,0,0,0,692,0
